frame,left_shoulder_to_right_shoulder_cm,left_hip_to_right_hip_cm,left_shoulder_to_left_elbow_cm,right_shoulder_to_right_elbow_cm,left_elbow_to_left_wrist_cm,right_elbow_to_right_wrist_cm,left_shoulder_to_left_hip_cm,right_shoulder_to_right_hip_cm,left_wrist_movement_cm,right_wrist_movement_cm,left_elbow_movement_cm,right_elbow_movement_cm,left_shoulder_movement_cm,right_shoulder_movement_cm,left_knee_movement_cm,right_knee_movement_cm,left_elbow_angle_deg,right_elbow_angle_deg,shoulder_width
0,31.58121114963692,17.978975426874957,28.028219504562188,28.093313192786702,25.32052824075013,25.024230065803913,52.52083759441507,51.3721899628992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.47443162627715,164.5007246234992,31.58121114963692
10,31.580729166666664,17.984900840910367,21.525383841468877,24.048394613245858,11.865866199027014,13.826854736069267,51.66027300251982,50.504109197610674,21.412653169704566,18.985385918443225,7.8379801501535695,9.143107895213035,0.17447916666666666,0.3489583333333333,0.17447916666666666,0.0,159.25372620195176,141.21402949099155,31.580729166666664
20,28.982454919181038,18.176006564334646,24.945639819772012,27.47977636363196,16.06724827137145,21.033968302174753,54.105424112585766,53.93071732371401,79.3862951964466,87.21201126792513,51.51273936507872,53.73986657798732,7.06586771353235,7.6790657951696915,0.9870032154062226,0.8723958333333333,165.8075455977795,134.83569465088638,28.982454919181038
30,29.489043936584935,18.33360133119697,16.18523523041836,19.41742264963609,20.55376432478578,22.087298343191012,53.303314025797796,52.69906315156799,26.390226303029056,29.66607653998883,24.96942574874765,26.54206078923922,1.1035031418295906,1.7534939234768219,0.5234375,1.3287937450335465,48.253249558162985,48.1621232451173,29.489043936584935
40,31.94684477555305,18.50795522112083,23.131489564267266,22.822115107681874,14.00405921822932,16.575520833333332,53.130267112770966,51.377523054512984,53.820247732860494,55.7222650151053,25.472763242514567,24.30526731289898,2.966145833333333,4.999368585348567,1.2213541666666665,1.6460331662702927,176.78910684196853,163.4769724584515,31.94684477555305
50,35.41970058236826,19.205393535202912,24.604037257324435,25.391365106734746,25.503220564643136,25.67927921750613,53.71833572785204,53.09473000217542,56.962838594473304,52.36613670581164,27.176215430277395,28.576790018975686,0.5234375,3.7583962716459554,1.7447916666666665,0.9395990679114888,157.7427901455602,162.73422502606772,35.41970058236826
60,34.721354166666664,19.018229166666664,25.88473561834627,27.799191304130204,23.333938590782743,23.396478713688662,51.0592346599973,51.005545852745705,82.32828645257361,78.35416268528971,40.522011718352,36.97723604848786,3.7664875539318605,3.493942589665502,0.6290935819168939,2.7254517098215927,178.2612339213863,160.40227963496923,34.721354166666664
70,32.98071650423641,19.19667335937157,26.132878934062706,27.805761146187614,22.235656763290766,23.699640791219018,45.49860011964348,49.659174001932946,0.6979166666666666,4.448363377743705,4.746346479610806,2.797113826317848,5.2052139095927705,3.7462265809638553,35.631362888154605,2.101007387445531,170.54063868665395,158.75155024183485,32.98071650423641
80,32.978408788703085,19.13313434067588,28.133920267500145,28.353804070973244,23.827109068734096,23.95516991117137,48.25855301864245,52.29079786898622,5.1315862415631965,2.5163743276675756,3.047147646277056,1.4387920672728294,0.889672675548741,0.7193960336364147,13.854349006083918,1.4066960133750073,172.27467804991764,155.9853623372524,32.978408788703085
90,32.627604166666664,19.55412549271182,27.593095509807664,27.26847587869483,23.81624647000738,22.867423567186762,50.17482078751281,51.20450779091435,1.655254712744386,3.2595398265157556,3.1454679095844695,6.806924044842644,3.3877726177330447,3.680642052999589,16.112657447942045,2.8616711048942727,175.9196781591038,170.89867459555336,32.627604166666664
100,32.62807068516747,19.56735430348043,27.82108474426646,27.10779669396911,24.470042210140523,18.01280868116356,49.426902289908156,46.24784168786247,1.779345351097482,4.579870406996084,1.1704418319725463,0.7402524115546668,1.8791981358229777,1.9507363866209102,6.188478677160777,46.44424358934921,174.04772172185545,173.87992975939173,32.62807068516747
110,33.33693767134215,19.22123826484724,27.865366275994155,27.66086416409027,24.44950607761302,24.262644054979425,51.32476034866689,51.03150249563308,3.936429424840927,6.465153593825399,0.7402524115546668,0.889672675548741,1.1704418319725463,1.8216159794192888,4.333972590318087,42.74775191178227,177.06471991455382,173.6715757173696,33.33693767134215
120,33.681710687253975,18.863933538700703,27.983107784680783,27.900304449768228,24.100872407057174,24.785869529673832,51.152161769568316,50.95419036002068,3.1839460119529743,1.9271853858113188,1.3627258549107963,2.101007387445531,2.2682291666666665,2.657587490067093,2.373173239805403,5.955339724550483,169.9866266393622,172.28368141346309,33.681710687253975
