metric,MAE_YOLO,MAE_Mediapipe,RMSE_YOLO,RMSE_Mediapipe,Corr_YOLO,Corr_Mediapipe
left_shoulder_to_right_shoulder_cm,5.381679822623391,4.202918820441262,6.122101517487861,4.642674675557304,0.8497665568655309,0.8717860185490379
left_hip_to_right_hip_cm,8.725313092717123,9.711863815698235,8.95146319626377,9.907238275532334,0.6701054232339944,0.8488182500934495
left_shoulder_to_left_elbow_cm,3.052719916576771,2.167662091817448,3.800400194462013,2.826146048246039,0.8500676875649523,0.8492436219983065
right_shoulder_to_right_elbow_cm,1.8605563617582206,1.7419121531948862,2.5026710864949266,1.9664471422969616,0.9485655570230642,0.9560398508532669
left_elbow_to_left_wrist_cm,2.1718438991254447,2.6302718962437788,2.504776353031174,3.2014358059385817,0.9346127162850649,0.83672233049383
right_elbow_to_right_wrist_cm,2.2454420766636574,1.7873807060983102,2.7634574638970775,2.292838341184465,0.643441269988118,0.7359423833674784
left_shoulder_to_left_hip_cm,2.193607603059093,3.022437450425407,3.6592752585804087,4.205764324947564,0.8490259879195218,0.850918160663083
right_shoulder_to_right_hip_cm,2.2135351148909534,2.925738279033745,3.0148932529644643,3.683373728124334,0.7822101465526454,0.6134746741879342
left_wrist_movement_cm,2.5065778705385426,5.168587627283511,3.2314380883106533,6.174391593447449,0.9961980743969232,0.996396751519625
right_wrist_movement_cm,3.5106877043682942,4.32522823019025,4.42994240584503,5.301891362952703,0.9962550396213458,0.9981227508724584
left_elbow_movement_cm,3.138462687234251,4.7533277399144405,4.172947620350547,6.00571777014952,0.9812622314945877,0.9858939247421885
right_elbow_movement_cm,1.0352219050057603,4.414376353022342,1.2645236491667824,5.216491339873604,0.9984181359874152,0.9876182140450923
left_shoulder_movement_cm,1.9881562460039746,2.9276174854130756,2.655884926613534,3.5733275888797826,0.5208441719606991,0.7112816733627757
right_shoulder_movement_cm,1.3386518841559072,3.0252795900349096,1.590505702246028,3.498954312789006,0.9299974246752192,0.9337358854282203
left_knee_movement_cm,5.021224137726576,5.076654482376719,8.58576534956765,8.838057767635835,0.9263942497479034,0.7173164550289834
right_knee_movement_cm,3.583716920738653,0.9145536585448895,4.973449468351528,1.5792703965414796,0.7071660694665673,0.9726642934717443
shoulder_width,5.381679822623391,4.202918820441262,6.122101517487861,4.642674675557304,0.8497665568655309,0.8717860185490379
