frame,left_shoulder_to_right_shoulder_cm,left_hip_to_right_hip_cm,left_shoulder_to_left_elbow_cm,right_shoulder_to_right_elbow_cm,left_elbow_to_left_wrist_cm,right_elbow_to_right_wrist_cm,left_shoulder_to_left_hip_cm,right_shoulder_to_right_hip_cm,left_wrist_movement_cm,right_wrist_movement_cm,left_elbow_movement_cm,right_elbow_movement_cm,left_shoulder_movement_cm,right_shoulder_movement_cm,left_knee_movement_cm,right_knee_movement_cm,shoulder_width,left_elbow_angle_deg,right_elbow_angle_deg
0,28.45348132480221,18.67008613873946,28.353804070973244,28.18419178761243,24.028131598756694,21.89418088882374,50.38582536627451,49.55484789089779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.45348132480221,160.64205035274264,161.36482336396526
10,30.708333333333332,19.891390244782432,19.5073638662091,21.732289007952513,12.813234914983225,14.375219842823755,52.01528014951104,51.752120887266976,23.63146245569958,20.155931205758453,11.849178111514856,13.137018358681578,1.5605891092967281,2.7587578545739766,1.779345351097482,1.655254712744386,30.708333333333332,159.68898156683846,141.8860486360411
20,28.0916876888734,18.851018563433282,20.91495096533526,25.595564479162096,23.069550697387676,27.645451757485066,54.7467137883834,55.22644614924242,80.3765888179025,92.39458562961107,44.64280571983645,51.152161769568316,7.575289865563497,7.187609921411878,4.681767327890185,3.532933856766175,28.0916876888734,147.83712382389933,151.3619980715915
30,35.59417764244738,22.513898159838124,14.345540843784677,12.293044811512207,21.692328959517784,20.493690408786325,51.33365673937627,51.74623809262158,28.440104166666664,39.86419418646074,24.302135796128542,30.824104096269746,4.248845361178941,7.307324149072494,0.17447916666666666,2.347377112380048,35.59417764244738,54.733382418836484,53.58983240469808
40,30.010923869260424,19.01902951297598,22.312877187618742,22.648713126173444,16.086184339547486,18.216159794192887,50.73264935266748,50.71374372520597,57.46619091382803,57.38481596561165,25.32894297251732,24.6318611444982,6.2423564371869125,5.932291666666666,4.800555755089789,0.8723958333333333,30.010923869260424,174.2072035049678,163.91871401710964
50,36.14415006061978,20.940407784195674,26.627373037912946,31.23128345755662,25.844128393877707,24.656567129790552,50.58391478956891,51.74859129073067,63.24719376803409,59.111625866732055,34.33296040452802,37.656792080584175,5.776288223622598,7.423058202469987,1.7447916666666665,0.6290935819168939,36.14415006061978,161.03603411089316,171.5431557159902
60,25.154668175120776,16.938863088665222,25.80050759091349,26.535751697739077,22.513898159838124,21.289318455393044,49.775515012930974,49.15267341753357,91.25327138857408,90.08009767793938,48.19827103070598,51.78034899816688,9.809702264482603,11.394705261522203,2.1862176921132597,2.3408836639450925,25.154668175120776,167.35784767211015,164.20219460633976
70,24.779727572070016,18.154219816811683,26.3833039737232,27.92211860826081,24.092028745351442,19.964717175855316,46.591165046900436,48.592056355020226,6.322312252310209,5.517515709147953,4.013020833333333,8.027937955332623,6.643968725167732,5.651078268890678,29.162562955354247,11.532795752784057,24.779727572070016,167.0839539281134,151.60854283978364
80,28.448666272506724,19.021430349851542,27.214835121773106,28.042878758164946,22.750638214586573,22.101077070883726,48.218162947837776,49.695636399252756,4.83845546770186,2.274930005982174,5.420099197862538,2.122630674635316,5.47597798632208,1.2337540192577783,23.722109474472052,8.202376784660329,28.448666272506724,175.41158852309434,157.4784198770745
90,27.74273617119906,18.166792282930096,26.2867790148691,26.842586335694925,23.606973219163702,21.199039243924506,49.580642994786544,48.630570912753505,4.106751842853999,3.3877726177330447,5.760455517123359,7.504632719946041,6.146522405756103,6.913427368034633,7.102395173344742,3.8266268681351763,27.74273617119906,171.16151833373246,169.35134679004778
100,32.70030058691192,21.8830543827621,25.314516005537573,27.8511601235154,22.507136214000116,19.024630994388726,47.63568844339884,44.86286560553964,0.17447916666666666,3.7462265809638553,1.8547389829510976,1.4805048231093336,4.058281898042039,2.3408836639450925,3.3697524228137334,25.15708852229997,32.70030058691192,174.84991766198024,172.65204399990074
110,26.872057534332427,17.978975426874957,27.315325131387695,26.102573176664826,21.827336776411087,21.985067366742946,52.78420157618334,52.211268978489535,5.996095305148187,4.202014774891062,4.248845361178941,2.981501306959763,6.987885179331004,3.5969801681820734,6.7755452354660894,31.836113453842323,26.872057534332427,174.2122653794745,160.92970704055816
120,27.232727113759964,18.3203125,27.170613819287194,27.46869580819613,21.816176179093734,21.292893067714925,52.546045720341155,51.36359659501836,2.8403150519236466,2.8616711048942727,1.4907506534798816,3.278165919999343,2.622997024351523,3.1454679095844695,0.9870032154062226,1.8791981358229777,27.232727113759964,167.89250066277484,166.3131078911274
