Column,MP_MAE,YOLO_MAE,MP_RMSE,YOLO_RMSE,MP_Corr,YOLO_Corr
left_wrist_movement_cm,4.657386494454655,3.4527651104412795,7.0663470746120085,5.880626349812045,0.9897386758286132,0.9863509146116459
right_wrist_movement_cm,3.751570358615495,1.2503367908746996,5.335384688008136,1.7246539262893597,0.9963851615046345,0.9987531929764024
left_elbow_movement_cm,3.4049643057454997,2.357394806599535,4.277426557427842,3.658189609348404,0.9873352493394876,0.9872198900300199
right_elbow_movement_cm,2.717346037576779,1.8758220790392435,3.7192182807112495,2.84495423537072,0.9915307169469237,0.9881808821227769
left_shoulder_movement_cm,2.4155317814647863,1.5860379988032578,3.026418952580578,1.9934006175492758,0.7109806818145,0.7719162591528934
right_shoulder_movement_cm,1.6474020806197998,1.3596414646727375,2.198027218141078,1.9038917931216046,0.8524767605164478,0.8197269108058296
left_knee_movement_cm,4.352083839692188,3.1818165980420785,6.838519418880334,5.256710175445787,0.8880747608029881,0.9873648147495417
right_knee_movement_cm,3.49514329317019,4.129745543242179,4.5097614796440295,6.592193149613818,0.9623489776750408,0.9583325103213116
left_elbow_angle_deg,4.411151818254859,6.443537389078169,6.226405688867219,8.120720860768149,0.9917414138073302,0.9844511493751054
right_elbow_angle_deg,8.761885539643014,11.261192095285624,9.835669125355935,12.2367071271467,0.9747165347718428,0.9597538396199949
