method,mpjpe_px,mpjpe_cm,joint
MediaPipe,24.29856461839448,5.206835275370246,
YOLO,25.14057009991455,5.38726502141026,
MediaPipe,28.696254407884428,6.149197373118091,right_knee
MediaPipe,18.657240017409624,3.9979800037306337,left_wrist
MediaPipe,11.55848809154839,2.4768188767603694,left_shoulder
MediaPipe,25.760587803395044,5.520125957870366,left_knee
MediaPipe,15.429758025483999,3.306376719746571,right_shoulder
MediaPipe,32.29065738631071,6.919426582780867,left_hip
MediaPipe,20.636500443150563,4.422107237817977,right_elbow
MediaPipe,22.748726789377063,4.874727169152227,right_wrist
MediaPipe,43.22787756915167,9.263116621961073,right_hip
MediaPipe,23.979555650233326,5.138476210764284,left_elbow
YOLO,29.940094226091748,6.41573447701966,right_knee
YOLO,19.267311545415374,4.128709616874723,left_wrist
YOLO,17.92873946028344,3.841872741489308,left_shoulder
YOLO,25.275170240279387,5.416107908631297,left_knee
YOLO,25.71932434327045,5.511283787843667,right_shoulder
YOLO,35.251811101542906,7.553959521759194,left_hip
YOLO,19.417512797029154,4.16089559936339,right_elbow
YOLO,19.35421299061985,4.147331355132825,right_wrist
YOLO,36.509144404221736,7.823388086618943,right_hip
YOLO,22.74237989039147,4.8733671193696,left_elbow
